Type,OrderID,Time,Symbol,Action,Size,Price
Add,P101,12:00:01,AAPL,BUY,200,33.55
Add,P102,12:00:02,NVDA,BUY,100,40.54
Add,P103,12:00:05,AAPL,BUY,300,33.56
Add,P104,12:00:05,NVDA,BUY,500,40.55
Add,P107,12:00:08,NVDA,SELL,200,40.6
Add,P108,12:00:08,INTC,SELL,200,25.8
Cancel,P107,12:00:10,NVDA,SELL,200,40.6
Add,P110,12:00:11,NVDA,SELL,200,40.6
Add,P113,12:00:14,AAPL,SELL,300,33.6
Add,P114,12:00:15,INTC,SELL,300,25.8
Cancel,P103,12:00:20,AAPL,BUY,300,33.56
Add,P117,12:00:23,INTC,BUY,100,25.77
Add,P119,12:00:23,AAPL,BUY,200,33.57
Cancel,P108,12:00:25,INTC,SELL,200,25.8
Add,P121,12:00:25,INTC,BUY,200,25.78
Add,P122,12:00:26,NVDA,BUY,400,40.55
Add,P123,12:00:27,NVDA,BUY,200,40.56
Add,P124,12:00:27,AAPL,SELL,100,33.59
Add,P127,12:00:29,NVDA,SELL,100,40.59
